2013-05-01 15:46:10.7156 | Starting ServiceADT...
2013-05-01 15:46:13.8698 | Stopping ServiceADT...
2013-05-02 10:34:50.5240 | Starting ServiceADT...
2013-05-02 10:36:22.5502 | Starting ServiceADT...
2013-05-02 10:36:42.6594 | Stopping ServiceADT...
2013-05-02 10:37:51.6143 | Starting ServiceADT...
2013-05-02 10:38:05.0641 | Stopping ServiceADT...
2013-05-02 10:38:30.9626 | Starting ServiceADT...
2013-05-02 10:40:20.9799 | Starting ServiceADT...
2013-05-02 10:42:15.1254 | Starting ServiceADT...
2013-05-02 10:42:44.2601 | Stopping ServiceADT...
2013-05-02 10:49:50.0654 | Starting ServiceADT...
2013-05-02 10:50:12.7377 | Stopping ServiceADT...
2013-05-02 10:51:56.7777 | Starting ServiceADT...
2013-05-02 10:52:10.1164 | Stopping ServiceADT...
2013-05-02 11:47:29.1633 | Starting ServiceADT...
2013-05-02 12:57:11.1505 | Starting ServiceADT...
2013-05-02 12:59:42.8581 | Starting ServiceADT...
2013-05-02 13:48:52.7539 | Starting ServiceADT...
2013-05-02 13:49:48.1910 | Starting ServiceADT...
2013-05-02 13:55:46.2975 | Starting ServiceADT...
2013-05-02 13:57:40.8261 | Starting ServiceADT...
2013-05-02 13:59:49.7334 | Starting ServiceADT...
2013-05-02 14:08:29.8232 | Starting ServiceADT...
2013-05-02 14:11:45.0864 | Starting ServiceADT...
2013-05-02 14:13:01.1467 | Starting ServiceADT...
2013-05-02 14:14:12.8948 | Starting ServiceADT...
2013-05-02 14:24:00.7224 | Starting ServiceADT...
2013-05-02 14:25:05.0341 | Starting ServiceADT...
2013-05-02 14:27:18.9438 | Starting ServiceADT...
2013-05-02 14:29:09.0101 | Starting ServiceADT...
2013-05-02 14:59:36.5256 | Starting ServiceADT...
2013-05-02 14:59:53.9356 | Stopping ServiceADT...
2013-05-02 15:06:33.3714 | Starting ServiceADT...
2013-05-02 15:08:40.0847 | Starting ServiceADT...
2013-05-02 15:09:03.8390 | Stopping ServiceADT...
2013-05-02 15:24:31.1471 | Starting ServiceADT...
2013-05-02 15:26:27.1617 | Starting ServiceADT...
2013-05-02 15:27:02.5967 | Starting ServiceADT...
2013-05-02 15:28:07.9985 | Starting ServiceADT...
2013-05-02 15:28:54.1461 | Starting ServiceADT...
2013-05-02 15:32:03.3499 | Starting ServiceADT...
2013-05-02 15:33:07.7346 | Starting ServiceADT...
2013-05-02 15:33:34.4962 | Stopping ServiceADT...
2013-05-02 15:34:39.1929 | Starting ServiceADT...
2013-05-02 15:35:08.3115 | Stopping ServiceADT...
2013-05-02 15:47:37.8884 | Starting ServiceADT...
2013-05-02 15:48:04.2399 | Stopping ServiceADT...
2013-05-02 15:49:31.1019 | Starting ServiceADT...
2013-05-02 15:50:13.8133 | Starting ServiceADT...
2013-05-02 15:50:38.3367 | Stopping ServiceADT...
2013-05-02 15:52:06.4618 | Starting ServiceADT...
2013-05-02 15:52:20.1575 | Stopping ServiceADT...
2013-05-02 16:22:21.2626 | Starting ServiceADT...
2013-05-02 16:23:39.9531 | Starting ServiceADT...
2013-05-02 16:23:56.7530 | Stopping ServiceADT...
2013-05-02 16:24:15.3401 | Starting ServiceADT...
2013-05-02 16:25:10.0172 | Stopping ServiceADT...
2013-05-02 16:28:10.3605 | Starting ServiceADT...
2013-05-02 16:28:26.4664 | Stopping ServiceADT...
2013-05-02 16:28:39.1222 | Starting ServiceADT...
2013-05-02 16:28:50.0058 | Stopping ServiceADT...
2013-05-03 08:37:31.7152 | Starting ServiceADT...
2013-05-03 08:37:46.0950 | Stopping ServiceADT...
2013-05-03 09:02:31.0289 | Starting ServiceADT...
2013-05-03 09:03:29.8353 | Starting ServiceADT...
2013-05-03 09:03:43.0490 | Stopping ServiceADT...
2013-05-29 11:22:58.8736 | Starting ServiceADT...
